band_id;genre_name
1;Emo
1;Indie rock
1;Indietronica
1;Indie pop
2;Ranchera
2;Norteño music
3;Futurepop
3;Synthpop
5;Indie rock
5;Indietronica
6;Garage rock
6;Punk blues
7;Noise rock
7;Math rock
7;Hardcore punk
9;Alternative metal
9;Heavy metal
9;Gothic metal
10;Instrumental rock
11;Rock music
12;Industrial hip hop
13;Indie rock
13;Indietronica
13;Dream pop
13;Jangle pop
13;Neo-psychedelia
14;Hi-NRG
14;Synthpop
15;Industrial metal
15;Death metal
15;Grindcore
16;Soul
16;Pop music
16;Contemporary R&B
17;Nu metal
19;Rock music
21;Australian hip hop
22;Rock music
23;Hip hop
24;Hardcore punk
25;Latin music
26;Alternative hip hop
27;Folk rock
27;Psychedelic rock
28;Punk rock
28;New wave
28;Alternative rock
28;Post-punk
29;Psychedelic pop
29;Comedy rock
30;Alternative rock
31;Rock music
32;Groove metal
32;Thrash metal
33;Indie rock
33;Indietronica
34;Hard rock
34;Blues
34;Heavy metal
34;Rock music
35;Stoner rock
35;Doom metal
36;Noise rock
36;Sludge metal
36;Alternative rock
37;Indie folk
37;Indie pop
37;Baroque pop
38;Psychedelic rock
38;Ambient music
38;New wave
38;World music
38;Progressive rock
39;Punk rock
39;Alternative rock
40;Art rock
40;Indie rock
40;Indietronica
40;Post-punk
41;Noise rock
41;Psychedelic rock
41;Experimental rock
43;Power pop
44;J-pop
44;Heavy metal
44;Kawaii Metal
45;Shoegazing
45;Ambient music
45;Post-rock
46;Indie rock
46;Indietronica
46;Post-rock
47;Minimal music
48;Psychedelic rock
48;Jam band
48;Blues rock
49;Punk rock
49;Hardcore punk
49;Alternative metal
50;Pop rock
50;Contemporary Christian music
51;Indie rock
51;Indietronica
51;Indie folk
51;Lo-fi
53;Emo
53;Indie rock
53;Indietronica
54;Art rock
54;Progressive rock
55;Pop music
56;Surf music
56;Lo-fi
56;Indie pop
57;Soft rock
57;Alternative rock
58;Soul
58;Contemporary R&B
58;Downtempo
59;Indie rock
59;Indietronica
60;Pop punk
61;Metalcore
61;Avant-garde metal
61;Post-hardcore
62;Country music
63;Hi-NRG
63;trance
63;Hardstyle
63;Eurodance
63;Dance-pop
64;Indie rock
64;Indietronica
65;Symphonic gothic metal
65;Power metal
65;Symphonic metal
65;Symphonic power metal
66;Rhythm and blues
66;Dance-pop
67;Reggae
67;Art punk
67;Noise rock
67;Psychedelic rock
67;Punk rock
67;Hardcore punk
67;Garage rock
67;Lo-fi
67;Post-punk
67;Experimental rock
68;Noise pop
68;Post-punk
69;Reggae
71;Grindcore
71;Deathgrind
72;Pop music
72;Euro disco
72;Rhythm and blues
72;Disco
73;Hard rock
73;Rap metal
73;Alternative metal
73;Nu metal
74;Pop music
74;Alternative rock
75;Ambient music
75;Neofolk
75;Dark ambient
76;Hard rock
76;Heavy metal
77;Noise rock
77;Grindcore
77;Mathcore
78;Horror punk
78;Heavy metal
79;Electronica
79;Dance-punk
79;Electro house
80;Urban/contemporary gospel
82;Heavy metal
83;Emo
83;Pop punk
84;Indie rock
84;Indietronica
84;Math rock
85;Post-punk
86;Samba music
86;Bossa nova
87;Christian hardcore
87;Melodic hardcore
87;Metalcore
87;Post-hardcore
88;Alternative dance
88;New wave
88;Dance-rock
89;Reggae
89;Dub
90;Southern gospel music
91;Psychedelic rock
91;Jam band
91;Rock music
91;Progressive rock
92;Post-grunge
92;Alternative metal
92;Heavy metal
93;Indie rock
93;Indietronica
93;Post-punk revival
94;Hard rock
94;Glam metal
94;Heavy metal
95;Grunge
95;Alternative metal
95;Alternative rock
96;Pop music
96;Synthpop
97;Dream pop
97;Jangle pop
97;Alternative rock
98;Hard rock
98;Heavy metal
99;Country music
101;Indie rock
101;Indietronica
101;Alternative rock
102;Alternative rock
102;Rock music
102;Christian rock
103;Garage rock
103;Lo-fi
104;New rave
104;Dance-punk
104;Electroclash
104;Neo-progressive rock
107;Indie rock
107;Indietronica
107;Indie pop
108;New wave
108;Post-punk
109;Indie pop
110;Pop music
111;Rock music
112;Glam metal
113;Folk rock
113;Synthpop
113;Rock music
113;Post-punk
115;Soul
115;Rhythm and blues
115;Disco
115;Funk
116;Cajun music
116;Zydeco
117;Hard rock
117;Glam metal
118;Pop music
118;Baroque pop
119;Indie rock
119;Indietronica
120;Synthpop
120;Power pop
122;Emo
122;Hardcore punk
122;Post-hardcore
123;Death metal
124;Rap metal
124;Nu metal
125;Indie rock
125;Indietronica
125;Alternative rock
126;Contemporary R&B
126;Hip hop soul
127;Indie rock
127;Indietronica
129;Punk rock
130;Jazz rock
130;Jazz fusion
130;Free jazz
130;Progressive rock
131;Indie rock
131;Indietronica
131;Psychedelic rock
131;Alternative rock
132;Traditional folk music
132;New-age music
132;Chamber jazz
133;Progressive metal
136;Metalcore
136;Hardcore punk
136;Post-hardcore
136;Heavy metal
137;Ambient music
137;Electronica
137;Electropop
137;Synthpop
138;Progressive metal
138;Technical death metal
138;Avant-garde metal
138;Progressive rock
139;Groove metal
139;Industrial metal
139;Metalcore
139;Death metal
139;Thrash metal
140;Pop punk
140;Post-hardcore
140;Alternative rock
141;Pop music
142;Pop music
143;Glam metal
144;Futurepop
145;Pop music
147;Soul
147;Sophisti-pop
148;Indie rock
148;Indietronica
148;Ambient music
150;Folk rock
150;Pop rock
151;Metalcore
152;Punk rock
152;Gothic rock
152;Hardcore punk
152;Post-hardcore
152;Post-punk
152;Experimental rock
153;Noise rock
153;Garage punk
154;Pop punk
154;Alternative rock
