lon;lat;CO;NO;NO2;O3;SO2;PM2_5;PM10;NH3;aqi;date;hour;year;city
41.3888;2.159;243.66;0;0.07;41.84;0.07;5.12;11.97;0.41;1;01/01/2021;0;2021;Barcelona
41.3888;2.159;233.65;0;0.08;44.35;0.07;5.52;14.4;0.38;1;01/01/2021;1;2021;Barcelona
41.3888;2.159;226.97;0;0.08;46.49;0.06;5.83;16.02;0.34;1;01/01/2021;2;2021;Barcelona
41.3888;2.159;223.64;0;0.08;46.49;0.06;6.08;16.92;0.3;1;01/01/2021;3;2021;Barcelona
41.3888;2.159;220.3;0;0.09;46.49;0.06;6.44;17.89;0.26;1;01/01/2021;4;2021;Barcelona
41.3888;2.159;216.96;0;0.09;45.78;0.07;6.92;19.33;0.24;1;01/01/2021;5;2021;Barcelona
41.3888;2.159;216.96;0.01;0.08;44.7;0.07;7.29;20.56;0.25;1;01/01/2021;6;2021;Barcelona
41.3888;2.159;220.3;0.01;0.05;45.06;0.08;7.47;21.53;0.25;1;01/01/2021;7;2021;Barcelona
41.3888;2.159;230.31;0.01;0.03;47.92;0.1;7.46;27.01;0.2;1;01/01/2021;8;2021;Barcelona
41.3888;2.159;230.31;0;0.02;47.21;0.11;7.74;31.14;0.19;1;01/01/2021;9;2021;Barcelona
41.3888;2.159;230.31;0;0.02;46.49;0.12;8.27;32.65;0.2;1;01/01/2021;10;2021;Barcelona
41.3888;2.159;220.3;0;0.02;50.78;0.12;9.46;35.53;0.18;1;01/01/2021;11;2021;Barcelona
41.3888;2.159;210.29;0;0.02;54.36;0.11;9.59;33.85;0.14;1;01/01/2021;12;2021;Barcelona
41.3888;2.159;205.28;0;0.02;55.08;0.1;9.85;33.74;0.12;1;01/01/2021;13;2021;Barcelona
41.3888;2.159;198.6;0;0.02;54.36;0.1;10.44;35.4;0.13;1;01/01/2021;14;2021;Barcelona
41.3888;2.159;195.27;0;0.03;51.5;0.1;11.26;38;0.17;1;01/01/2021;15;2021;Barcelona
41.3888;2.159;193.6;0;0.04;50.07;0.11;12.07;40.91;0.22;1;01/01/2021;16;2021;Barcelona
