Id;Length;Gills;Beak;Teeth;Dolphin
1;3;Y;Y;F;Y
2;3;N;N;F;Y
3;3;N;N;F;Y
4;3;Y;Y;F;Y
5;3;N;Y;F;Y
6;3;N;Y;F;Y
7;3;N;Y;M;Y
8;3;N;Y;F;Y
9;3;N;Y;F;Y
10;3;Y;Y;F;Y
11;3;N;N;F;Y
12;3;N;Y;M;Y
13;3;N;Y;F;Y
14;3;N;N;F;Y
15;3;N;Y;F;Y
16;3;N;Y;F;Y
17;4;N;N;F;Y
18;4;N;Y;M;N
19;4;N;Y;F;Y
20;4;N;Y;M;Y
21;4;N;Y;F;Y
22;4;N;N;F;N
23;3;Y;Y;M;N
24;5;Y;Y;F;Y
25;5;N;Y;F;N
26;5;N;Y;M;N
27;5;N;N;F;N
28;5;N;Y;F;Y
29;5;N;N;F;Y
30;5;N;N;F;Y
31;5;N;Y;F;Y
32;3;N;Y;F;Y
33;4;Y;Y;M;N
34;4;N;Y;F;Y
35;4;N;Y;F;Y
36;3;N;Y;M;Y
37;5;N;Y;M;N
38;3;N;N;F;N
39;3;N;N;F;Y
40;4;Y;Y;M;N
41;4;N;Y;F;N
42;4;N;Y;M;N
43;4;N;Y;F;N
44;5;N;Y;F;Y
45;5;N;N;F;Y
46;5;N;N;F;N
47;3;N;Y;F;Y
48;4;Y;Y;M;N
49;4;N;N;F;Y
50;4;N;Y;F;Y
51;3;N;Y;F;Y
52;5;N;Y;F;Y
53;3;N;Y;F;Y
54;5;Y;Y;F;Y
55;5;N;Y;F;Y
56;5;N;Y;F;N
57;3;N;Y;F;Y
58;4;N;N;F;Y
59;4;N;Y;F;Y
60;4;N;Y;F;Y
61;3;N;Y;F;Y
62;5;N;Y;F;Y
63;3;Y;Y;F;Y
64;5;N;Y;F;Y
65;5;N;Y;F;Y
66;5;N;N;F;Y
67;3;N;Y;F;Y
68;4;N;Y;F;Y
69;4;Y;Y;F;Y
70;4;N;Y;F;Y
71;3;N;Y;F;Y
72;5;N;Y;F;Y
73;3;N;Y;F;Y
74;4;N;Y;F;Y
75;4;N;Y;F;Y
76;3;N;Y;F;Y
77;5;N;N;F;Y
78;3;N;Y;F;Y
79;4;N;N;F;Y
80;4;Y;Y;F;Y
81;3;N;Y;F;Y
82;5;N;Y;F;Y
83;3;N;Y;F;Y
84;5;N;Y;F;Y
85;5;N;Y;M;Y
86;5;Y;Y;F;Y
87;4;N;N;F;Y
