Fuel Barrels/Year;Miles_per_galon;CO2 Emission Grams/Mile
19.38882353;17;522.7647059
25.35461538;13;683.6153846
20.600625;16;555.4375
25.35461538;13;683.6153846
20.600625;16;555.4375
14.98227273;22;403.9545455
13.73375;24;370.2916667
16.4805;20;444.35
14.98227273;22;403.9545455
13.73375;24;370.2916667
16.4805;20;444.35
14.98227273;22;403.9545455
13.73375;24;370.2916667
16.4805;20;444.35
16.4805;20;444.35
16.4805;20;444.35
17.34789474;19;467.7368421
16.4805;20;444.35
17.34789474;19;467.7368421
16.4805;20;444.35
17.34789474;19;467.7368421
16.4805;20;444.35
15.69571429;21;423.1904762
16.4805;20;444.35
15.69571429;21;423.1904762
16.4805;20;444.35
16.4805;20;444.35
16.4805;20;444.35
15.69571429;21;423.1904762
15.69571429;21;423.1904762
17.34789474;19;467.7368421
17.34789474;19;467.7368421
17.34789474;19;467.7368421
18.31166667;18;493.7222222
18.31166667;18;493.7222222
18.31166667;18;493.7222222
18.31166667;18;493.7222222
18.31166667;18;493.7222222
18.31166667;18;493.7222222
11.77178571;28;318
13.1844;25;361
11.77178571;28;318
13.1844;25;361
11.77178571;28;316
13.1844;25;350
11.36586207;29;305
11.36586207;29;309
8.673947368;38;228
8.673947368;38;228
13.73375;24;370.2916667
13.1844;25;355.48
13.73375;24;370.2916667
13.1844;25;355.48
13.73375;24;370.2916667
13.1844;25;355.48
13.73375;24;370.2916667
13.1844;25;355.48
14.98227273;22;403.9545455
14.33086957;23;386.3913043
14.33086957;23;386.3913043
14.33086957;23;386.3913043
14.33086957;23;386.3913043
14.33086957;23;386.3913043
13.73375;24;370.2916667
14.33086957;23;386.3913043
14.33086957;23;386.3913043
13.1844;25;355.48
13.73375;24;370.2916667
13.73375;24;370.2916667
13.1844;25;355.48
13.73375;24;370.2916667
13.73375;24;370.2916667
13.1844;25;355.48
13.1844;25;355.48
13.73375;24;370.2916667
13.1844;25;355.48
13.1844;25;355.48
13.73375;24;370.2916667
13.1844;25;355.48
13.73375;24;370.2916667
13.73375;24;370.2916667
13.73375;24;370.2916667
13.73375;24;370.2916667
13.1844;25;355.48
13.73375;24;370.2916667
14.33086957;23;386.3913043
13.73375;24;370.2916667
13.73375;24;370.2916667
14.33086957;23;386.3913043
13.73375;24;370.2916667
13.73375;24;370.2916667
17.34789474;19;467.7368421
16.4805;20;444.35
17.34789474;19;467.7368421
16.4805;20;444.35
18.31166667;18;493.7222222
17.34789474;19;467.7368421
18.31166667;18;493.7222222
17.34789474;19;467.7368421
18.31166667;18;493.7222222
17.34789474;19;467.7368421
18.31166667;18;493.7222222
17.34789474;19;467.7368421
