momento;1-0005;5-0005;1-_006;5-_006;1-_007;5-_007;1-_008;5-_008;1-_010;5-_010;1-_011;5-_011;1-_016;5-_016;1-_018;5-_018;1-_019;5-_019;1-_021;5-_021;1-_035;5-_035;1-_038;5-_038;1-_039;5-_039;1-_041;5-_041;1-_043;5-_043;1-_045;5-_045;1-_047;5-_047;1-_050;5-_050;1-_064;5-_064;1-_065;5-_065;1-_066;5-_066;1-_067;5-_067;1-_071;5-_071;1-_076;5-_076;1-_078;5-_078;1-_079;5-_079;1-_083;5-_083;1-_084;5-_084;1-_089;5-_089;1-_092;5-_092;1-_095;5-_095;1-_096;5-_096;1-_097;5-_097;1-_098;5-_098;1-_099;5-_099;1-0112;5-0112;1-0116;5-0116;1-0109;5-0109
1;-588.88;-580.21;-590.5;-582.25;-593.51;-585.46;-595.51;-587.47;-575.36;-566.77;-574.28;-565.35;-579.2;-570.57;-549.33;-540.98;-577.03;-568.44;-580.78;-572.07;-592.05;-582.5;-585.62;-576.66;-584.08;-575.37;-587.63;-578.87;-584.12;-575.28;-594.84;-586.26;-584.37;-575.74;-585.21;-576.83;-582.41;-573.78;-583.29;-575.53;-585.96;-578.62;-588.54;-580.5;-589.17;-581.13;-588.08;-579.71;-588;-580.08;-580.83;-573.16;-595.55;-588.22;-594.76;-586.59;-584.91;-576.7;-584.96;-577.24;-590.25;-583.17;-576.19;-566.1;-588.13;-581.29;-588.17;-581.42;-594.26;-586.26;-589.46;-581.75;-592.92;-586.26;-593.93;-586.3
2;-588.38;-579.71;-590.8;-582.46;-593.8;-585.67;-595.55;-587.59;-574.11;-565.39;-573.23;-563.22;-579.07;-570.36;-549.29;-541.24;-573.82;-563.93;-580.62;-571.86;-591.88;-582.42;-585.96;-577.24;-584.12;-575.45;-587.58;-578.91;-584.08;-575.37;-594.88;-586.34;-584.46;-575.91;-585.08;-576.91;-582.49;-574.32;-583.25;-575.62;-585.62;-578.29;-588.67;-580.62;-589.09;-581.08;-588.21;-580;-588.04;-579.92;-580.91;-573.2;-595.89;-588.51;-594.26;-586.17;-584.71;-576.58;-584.62;-576.7;-590.67;-583.5;-576.28;-566.15;-587.96;-581;-588.34;-581.63;-594.51;-586.26;-589.29;-581.58;-592.8;-586.26;-594.13;-586.51
3;-584.41;-575.74;-585.83;-577.66;-591.38;-583.21;-589.84;-578.04;-563.34;-554.84;-568.27;-555.76;-569.31;-563.39;-549.04;-540.86;-559.05;-547.66;-578.61;-568.86;-590.59;-580.83;-583.37;-572.91;-583.54;-574.49;-586.96;-578.29;-583.5;-574.87;-594.38;-585.84;-584.25;-575.7;-584.62;-576.41;-582.2;-574.03;-583.33;-575.58;-583.7;-576.2;-583.25;-573.74;-588.79;-580.75;-588.08;-579.87;-587.67;-579.29;-580.45;-572.65;-594.01;-586.22;-593.26;-585.09;-584;-575.74;-583.58;-575.62;-590.3;-582.79;-575.78;-564.89;-587.08;-579.79;-588.17;-581.33;-592.88;-584.34;-588.5;-580.62;-590.21;-583.75;-593.68;-585.84
4;-573.73;-565.27;-570.31;-562.81;-578.91;-571.24;-578.61;-565.9;-555;-546.33;-557.46;-543.61;-559.09;-553.21;-548.2;-540.11;-550.16;-540.32;-572.82;-561.97;-587.63;-576.79;-570.35;-557.8;-580.24;-570.36;-584.33;-575.03;-578.03;-568.4;-593.3;-584.42;-580.95;-572.32;-581.37;-572.99;-571.31;-562.56;-578.99;-570.28;-580.74;-573.03;-573.36;-564.23;-587.04;-579;-587.33;-579;-585;-574.7;-579.03;-570.86;-585.37;-575.74;-584;-576.03;-581.74;-573.11;-580.87;-572.65;-587.21;-579.37;-573.9;-561.47;-584.12;-576.29;-584.79;-576.87;-580.62;-568.15;-586.96;-578.75;-578.66;-571.19;-590.88;-582.63
5;-567.27;-558.55;-562.26;-554.55;-570.69;-562.93;-567.18;-557.51;-545.99;-537.52;-550.16;-536.94;-548.7;-541.94;-545.49;-537.98;-543.15;-534.77;-567.93;-557.47;-581.95;-569.78;-563.18;-551.46;-572.9;-562.47;-581.79;-572.36;-572.44;-562.89;-589.5;-579.96;-576.32;-567.56;-577.78;-569.44;-560.34;-551.96;-572.82;-564.27;-576.24;-568.65;-563.85;-555.76;-584.71;-576.49;-584.25;-575.91;-576.7;-564.48;-575.44;-567.02;-573.48;-564.73;-576.15;-567.94;-579.62;-571.07;-578.61;-570.32;-580.24;-571.82;-568.52;-554.3;-580.95;-572.99;-579.11;-570.99;-572.11;-560.43;-583.45;-574.91;-571.06;-563.56;-587.38;-578.71
6;-561.01;-552.21;-556.71;-548.7;-563.76;-555.71;-563.09;-554.88;-542.69;-534.27;-543.19;-531.47;-545.32;-537.61;-543.82;-536.94;-541.23;-533.31;-562.43;-552.04;-577.95;-565.48;-557.3;-547.12;-568.02;-557.93;-578.28;-568.44;-566.02;-556.51;-586.58;-576.66;-569.94;-561.18;-572.86;-564.35;-551.33;-542.74;-565.47;-556.8;-573.02;-565.35;-560.22;-552.63;-581.16;-572.91;-581.53;-573.28;-569.69;-558.05;-572.4;-563.89;-568.56;-560.26;-569.06;-560.68;-576.86;-568.19;-575.49;-567.06;-574.32;-566.23;-563.51;-547.91;-576.57;-568.52;-572.02;-563.56;-564.43;-554.59;-580.62;-571.9;-563.97;-556.84;-582.58;-573.66
7;-557.84;-549.08;-555.08;-547.04;-561.18;-553;-558.26;-553.34;-539.31;-531.39;-540.02;-529.22;-542.9;-534.73;-542.36;-536.1;-539.69;-532.39;-559.17;-549.29;-573.02;-560.55;-555.46;-545.78;-562.47;-552.58;-576.03;-566.27;-562.59;-553.29;-582.66;-572.61;-565.72;-556.8;-569.35;-560.97;-548.08;-539.44;-561.05;-552.71;-569.19;-561.64;-557.8;-550.71;-578.78;-570.61;-578.11;-569.65;-562.3;-551.46;-568.1;-559.8;-565.43;-557.63;-566.14;-557.72;-574.86;-566.06;-573.4;-564.98;-567.89;-559.72;-556.13;-539.27;-573.48;-565.44;-567.43;-559.51;-562.01;-552.96;-576.78;-568.27;-561.43;-554.46;-579.37;-570.15
8;-554.54;-545.66;-553.83;-545.62;-559.01;-550.37;-556.04;-552.33;-537.6;-529.76;-537.44;-527.13;-541.78;-533.39;-541.36;-535.48;-540.27;-532.97;-555.75;-546.24;-570.35;-557.8;-554.17;-545.07;-559.63;-550.12;-573.07;-563.39;-559.09;-549.75;-580.16;-570.23;-560.93;-552.38;-565.43;-557.05;-546.16;-537.35;-557;-548.87;-566.56;-559.01;-557.17;-550.04;-575.86;-567.65;-575.65;-567.23;-558.21;-548.29;-565.43;-557.3;-564.35;-556.84;-564.05;-555.51;-572.23;-563.48;-570.85;-562.47;-563.93;-556.13;-551.2;-533.35;-569.73;-561.76;-563.09;-555.55;-560.42;-552.04;-574.32;-565.98;-559.51;-552.63;-575.61;-566.48
9;-553.17;-544.24;-553.71;-545.45;-558.05;-549.41;-554.29;-552.71;-537.81;-529.64;-536.73;-526.97;-541.32;-532.35;-540.15;-534.52;-543.32;-536.4;-553.92;-544.62;-567.02;-554.63;-554.54;-545.66;-556.75;-547.33;-571.31;-561.72;-557.34;-547.87;-577.24;-567.44;-558.34;-549.54;-563.01;-554.71;-545.91;-536.85;-555.08;-547.04;-563.76;-556.42;-559.21;-551.12;-573.98;-565.77;-572.94;-564.52;-554.58;-545.37;-561.76;-553.84;-563.89;-556.42;-563.09;-554.63;-570.44;-561.68;-569.1;-560.64;-560.13;-552.46;-544.82;-526.51;-567.1;-559.26;-560.72;-553.29;-560.17;-551.79;-571.31;-563.14;-558.96;-552.04;-573.11;-563.98
10;-553.08;-543.91;-555.75;-546.99;-558.46;-549.5;-554.46;-554.25;-538.44;-530.18;-537.27;-528.18;-542.32;-533.02;-539.4;-534.02;-545.91;-539.32;-552.83;-543.82;-565.26;-552.84;-557.3;-548.04;-555.46;-546.24;-569.19;-559.72;-556.17;-546.62;-575.49;-565.77;-555.75;-547.12;-560.26;-551.83;-548.2;-538.27;-554.71;-546.91;-562.39;-555;-560.55;-552.17;-571.73;-563.56;-571.15;-562.72;-553.25;-544.53;-559.51;-551.75;-564.47;-557.01;-563.64;-555;-568.35;-559.55;-566.85;-558.34;-558.42;-551.04;-540.82;-522.5;-564.14;-556.26;-558.76;-551.63;-561.18;-552.46;-569.39;-561.39;-559.97;-552.54;-570.52;-561.1
